MKT_TP_CODE	SCR_CODE	SCR_NM	ENSCR_NM	TRDUNIT	MONEYTYPE	CAPITAL	CIRCULATSTOCK	ASSETSPERSHARE	LSTINCPERSHARE	CURINCPERSHARE	VOL_BASE_RATIO	RECTIME
1	019905	09国债05		10	0	22000000000	22000000000	0	0	0	0	20160307172318
1	019906	09国债06		10	0	25210000000	25210000000	0	0	0	0	20160307172318
1	019907	09国债07		10	0	27760000000	27760000000	0	0	0	0	20160307172318
1	019911	09国债11		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019912	09国债12		10	0	28270000000	28270000000	0	0	0	0	20160307172318
1	019913	09国债13		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019916	09国债16		10	0	28300000000	28300000000	0	0	0	0	20160307172318
1	019917	09国债17		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019919	09国债19		10	0	26730000000	26730000000	0	0	0	0	20160307172318
1	019920	09国债20		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019923	09国债23		10	0	26640000000	26640000000	0	0	0	0	20160307172318
1	019925	09国债25		10	0	24000000000	24000000000	0	0	0	0	20160307172318
1	019926	09国债26		10	0	27490000000	27490000000	0	0	0	0	20160307172318
1	019927	09国债27		10	0	27240000000	27240000000	0	0	0	0	20160307172318
1	019930	09国债30		10	0	20000000000	20000000000	0	0	0	0	20160307172318
1	019932	09国债32		10	0	27120000000	27120000000	0	0	0	0	20160307172318
1	020080	15贴债06		10	0	10140000000	10140000000	0	0	0	0	20160307172318
1	020083	15贴债09		10	0	15000000000	15000000000	0	0	0	0	20160307172318
1	020087	15贴债13		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020091	15贴债17		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020095	15贴债21		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020096	15贴债22		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020097	15贴债23		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020098	15贴债24		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020099	16贴债01		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020100	16贴债02		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020101	16贴债03		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020102	16贴债04		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020103	16贴债05		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020104	16贴债06		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020105	16贴债07		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	020106	16贴债08		10	0	10000000000	10000000000	0	0	0	0	20160307172318
1	110030	格力转债		10	0	980000000	978190206	0	0	0	0	20160307172318
1	110031	航信转债		10	0	2400000000	2399928807	0	0	0	0	20160307172318
1	110032	三一转债		10	0	4500000000	4500000000	0	0	0	0	20160307172318
1	110033	国贸转债		10	0	2800000000	2800000000	0	0	0	0	20160307172318
1	110034	九州转债		10	0	1500000000	1500000000	0	0	0	0	20160307172318
1	113008	电气转债		10	0	6000000000	5992756935	0	0	0	0	20160307172318
1	113009	广汽转债		10	0	4105580000	4105580000	0	0	0	0	20160307172318
1	120102	01三峡债		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	120201	02三峡债		10	0	5000000000	5000000000	0	0	0	0	20160307172318
1	120203	02中移⒂		10	0	5000000000	5000000000	0	0	0	0	20160307172318
1	120204	02苏交通		10	0	1500000000	1500000000	0	0	0	0	20160307172318
1	120301	03沪轨道		10	0	4000000000	4000000000	0	0	0	0	20160307172318
1	120303	03三峡债		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	120306	03中电投		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	120486	04国电⑵		10	0	1556000000	1556000000	0	0	0	0	20160307172318
1	120490	04南网⑵		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	120506	05大唐债		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	120508	05铁道债		10	0	5000000000	5000000000	0	0	0	0	20160307172318
1	120512	05沪建⑵		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	120527	05武城投		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	120529	05宁煤债		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	120601	06大唐债		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	120602	06冀建投		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	120603	06航天债		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	120604	06国网⑴		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	120605	06三峡债		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	120608	06鲁高速		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	120609	06赣投债		10	0	800000000	800000000	0	0	0	0	20160307172318
1	120610	06合城投		10	0	1000000000	1000000000	0	0	0	0	20160307172318
1	120701	07世博⑴		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	120702	07世博⑵		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	122000	07长电债		10	0	4000000000	3999916000	0	0	0	0	20160307172318
1	122001	07海工债		10	0	1200000000	1200000000	0	0	0	0	20160307172318
1	122004	07华能G3		10	0	3300000000	3300000000	0	0	0	0	20160307172318
1	122006	08金地债		10	0	1200000000	1200000000	0	0	0	0	20160307172318
1	122007	08莱钢债		10	0	2000000000	2000000000	0	0	0	0	20160307172318
1	122008	08华能G1		10	0	4000000000	4000000000	0	0	0	0	20160307172318
1	122009	08新湖债		10	0	1400000000	1399981000	0	0	0	0	20160307172318
1	122015	09长电债		10	0	3500000000	3500000000	0	0	0	0	20160307172318
1	122016	09中材债		10	0	2500000000	2500000000	0	0	0	0	20160307172318
1	122017	09大唐债		10	0	3000000000	3000000000	0	0	0	0	20160307172318
1	122019	09中交G2		10	0	7900000000	7900000000	0	0	0	0	20160307172318
